ADM_CD,시군구,행정동,시가지,면적,총인구수,0-2세,3-6세,0-6세,영유아비율(%),기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,반경커버율(%),반경신뢰도,반경주의,인접동수_1_5km,시설수_1km,시설수_1_5km,유형_최종,평당가,연식,거래건수
22020760,동구,안심3동,Y,5.95,19897,338,479,817,4.11,14,10,4,777,419,95.1,51.3,53.9,이중취약,88.8,정상,N,1,18,24,이중취약,937.7639612670476,23.0,269.0
22020770,동구,안심4동,Y,2.62,26329,295,520,815,3.1,17,14,3,1403,733,172.1,89.9,52.2,질적미스매치,152.0,정상,N,1,23,38,질적미스매치,939.1477272727273,17.0,291.0
22020780,동구,혁신동,Y,16.57,16510,268,587,855,5.18,17,14,3,1194,735,139.6,86.0,61.6,질적미스매치,55.4,정상,Y,0,5,21,이중취약,1052.8727697181926,11.0,141.0
22030510,서구,내당1동,Y,0.58,14642,358,373,731,4.99,5,4,1,358,318,49.0,43.5,88.8,물리적부족,79.7,정상,N,10,24,50,물리적부족,2354.290941382628,1.0,454.0
22030520,서구,내당2·3동,Y,0.5,8062,35,54,89,1.1,3,1,2,185,169,207.9,189.9,91.4,양호,85.6,정상,N,11,25,54,물리적부족,719.2535564853557,21.0,5.0
22030530,서구,내당4동,Y,0.79,14158,52,94,146,1.03,2,1,1,262,135,179.5,92.5,51.5,질적미스매치,79.3,정상,N,6,22,41,이중취약,841.4416067610659,45.0,82.0
22030540,서구,비산1동,Y,0.44,7771,28,49,77,0.99,3,2,1,141,60,183.1,77.9,42.6,질적미스매치,101.8,정상,N,10,13,39,질적미스매치,553.0843319014244,47.0,2.0
22030550,서구,비산2·3동,Y,0.55,7542,14,33,47,0.62,3,2,1,245,155,521.3,329.8,63.3,질적미스매치,78.7,정상,N,12,19,56,이중취약,848.8721003818424,14.5,2.0
22030560,서구,비산4동,Y,0.41,8153,21,42,63,0.77,3,2,1,153,97,242.9,154.0,63.4,질적미스매치,76.7,정상,N,12,20,50,이중취약,862.7841955212039,21.0,12.0
22030570,서구,비산5동,Y,0.34,4747,18,24,42,0.88,3,2,1,234,201,557.1,478.6,85.9,양호,88.1,정상,N,5,10,19,물리적부족,590.3084621226037,44.0,14.0
22030580,서구,비산6동,Y,0.28,6331,17,41,58,0.92,0,0,0,0,0,0.0,0.0,,완전공백,86.5,정상,N,13,19,47,완전공백,848.2253519794447,23.0,3.0
22030590,서구,비산7동,Y,2.85,9144,91,101,192,2.1,2,2,0,186,130,96.9,67.7,69.9,물리적부족,71.3,정상,N,4,9,21,물리적부족,693.2784713214734,16.0,12.0
22030600,서구,평리1동,Y,0.39,6160,19,52,71,1.15,1,1,0,120,119,169.0,167.6,99.2,양호,71.7,정상,N,11,23,41,물리적부족,936.6553017066328,11.0,3.0
22030610,서구,평리2동,Y,0.29,6853,37,90,127,1.85,2,2,0,65,54,51.2,42.5,83.1,물리적부족,76.9,정상,N,11,23,47,물리적부족,1099.1591723072977,17.0,52.0
22030620,서구,평리3동,Y,0.78,12104,234,264,498,4.11,6,4,2,419,320,84.1,64.3,76.4,물리적부족,86.9,정상,N,12,24,47,물리적부족,1891.0252094510136,3.0,96.0
22030630,서구,평리4동,Y,0.74,15047,94,174,268,1.78,6,6,0,258,159,96.3,59.3,61.6,이중취약,88.2,정상,N,11,34,51,이중취약,1196.1561315661077,15.0,110.0
22030640,서구,평리5동,Y,0.42,10517,589,599,1188,11.3,6,5,1,288,241,24.2,20.3,83.7,물리적부족,61.9,정상,N,7,25,37,물리적부족,1886.838837990668,3.0,84.0
